"filename", "language", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\models\user.ts", "TypeScript", 5, 0, 0, 0, 1, 6
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\models\userInfo.ts", "TypeScript", 11, 0, 0, 0, 1, 12
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\products\product-edit\product-edit.component.css", "CSS", 0, 30, 0, 0, 1, 31
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\products\product-edit\product-edit.component.html", "HTML", 0, 0, 122, 0, 10, 132
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\products\product-edit\product-edit.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\products\product-edit\product-edit.component.ts", "TypeScript", 122, 0, 0, 0, 16, 138
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\products\product-new\product-new.component.css", "CSS", 0, 30, 0, 0, 1, 31
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\products\product-new\product-new.component.html", "HTML", 0, 0, 122, 0, 10, 132
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\products\product-new\product-new.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\products\product-new\product-new.component.ts", "TypeScript", 116, 0, 0, 0, 16, 132
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\products\products-list\products-list.component.css", "CSS", 0, 49, 0, 0, 1, 50
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\products\products-list\products-list.component.html", "HTML", 0, 0, 57, 0, 3, 60
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\products\products-list\products-list.component.ts", "TypeScript", 20, 0, 0, 0, 5, 25
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\products\products-ordered\products-ordered.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\products\products-ordered\products-ordered.component.html", "HTML", 0, 0, 8, 0, 2, 10
